sample_id,mmsi,date,n_day,gap_type,n_gap,gap_frac,gap_start_i,gap_end_i,total_dist_km,gap_chord_km,mean_err_km,median_err_km,max_err_km,std_err_km,linear_mean_err_km,linear_median_err_km,model_beats_linear_pct,improvement_ratio,worst_ping_idx,worst_err_km,worst_frac_through_gap
1,319478000,2022-01-24,74,interpolation,19,0.257,52,70,585.03,15.50,312.52,317.45,353.77,25.80,1.41,1.16,0.0,222.285,53,353.77,0.056
2,273291380,2022-01-25,1221,interpolation,474,0.388,675,1148,580.26,223.99,209.18,205.11,405.21,84.23,31.81,32.03,0.0,6.576,1148,405.21,1.000
3,369109000,2022-01-23,137,interpolation,56,0.409,4,59,504.49,27.15,537.63,553.17,652.20,39.36,0.70,0.73,0.0,768.451,59,652.20,1.000
4,248647000,2022-01-24,230,extrapolation,67,0.291,163,229,470.27,200.43,365.67,361.26,460.84,25.40,45.16,52.96,0.0,8.097,164,460.84,0.015
5,477915900,2022-01-22,656,interpolation,228,0.348,29,256,422.97,75.12,78.45,79.26,223.42,21.86,9.32,9.28,0.0,8.413,29,223.42,0.000
6,215573000,2022-01-25,338,interpolation,103,0.305,234,336,414.89,121.91,367.50,374.68,492.50,24.21,9.05,8.87,0.0,40.606,335,492.50,0.990
