sample_id,mmsi,date,n_day,gap_type,n_gap,gap_frac,gap_start_i,gap_end_i,total_dist_km,gap_chord_km,mean_err_km,median_err_km,max_err_km,std_err_km,linear_mean_err_km,linear_median_err_km,model_beats_linear_pct,improvement_ratio,worst_ping_idx,worst_err_km,worst_frac_through_gap
1,319478000,2022-01-24,74,interpolation,19,0.257,52,70,585.03,15.50,448.07,444.17,569.74,54.59,1.41,1.16,0.0,318.699,53,569.74,0.056
2,273291380,2022-01-25,1221,interpolation,474,0.388,675,1148,580.26,223.99,115.29,112.47,231.83,36.93,31.81,32.03,0.0,3.624,1147,231.83,0.998
3,369109000,2022-01-23,137,interpolation,56,0.409,4,59,504.49,27.15,369.42,383.51,424.96,40.27,0.70,0.73,0.0,528.019,59,424.96,1.000
4,248647000,2022-01-24,230,extrapolation,67,0.291,163,229,470.27,200.43,336.99,337.49,374.78,17.13,45.16,52.96,0.0,7.462,229,374.78,1.000
5,477915900,2022-01-22,656,interpolation,228,0.348,29,256,422.97,75.12,67.12,66.60,139.42,27.41,9.32,9.28,0.0,7.198,246,139.42,0.956
6,215573000,2022-01-25,338,interpolation,103,0.305,234,336,414.89,121.91,139.78,137.70,310.74,32.49,9.05,8.87,0.0,15.445,234,310.74,0.000
