sample_id,mmsi,date,n_day,gap_type,n_gap,gap_frac,gap_start_i,gap_end_i,total_dist_km,gap_chord_km,mean_err_km,median_err_km,max_err_km,std_err_km,linear_mean_err_km,linear_median_err_km,model_beats_linear_pct,improvement_ratio,worst_ping_idx,worst_err_km,worst_frac_through_gap
1,319478000,2022-01-24,74,interpolation,19,0.257,52,70,585.03,15.50,7.62,7.48,12.69,3.28,1.41,1.16,0.0,5.417,59,12.69,0.389
2,273291380,2022-01-25,1221,interpolation,474,0.388,675,1148,580.26,223.99,26.76,26.37,52.89,12.39,31.81,32.03,84.6,0.841,958,52.89,0.598
3,369109000,2022-01-23,137,interpolation,56,0.409,4,59,504.49,27.15,10.33,9.68,40.71,5.03,0.70,0.73,0.0,14.764,5,40.71,0.018
4,477915900,2022-01-22,656,interpolation,228,0.348,29,256,422.97,75.12,11.80,10.56,20.96,4.12,9.32,9.28,32.5,1.266,112,20.96,0.366
5,215573000,2022-01-25,338,interpolation,103,0.305,234,336,414.89,121.91,15.29,16.76,25.61,5.81,9.05,8.87,26.2,1.689,279,25.61,0.441
6,538004328,2022-01-25,446,interpolation,196,0.439,69,264,400.89,119.10,10.34,10.45,18.20,4.43,3.39,2.77,0.5,3.050,180,18.20,0.569
